-----------------------------
name,sizeAligned,version,offset,value3,messageId
ClientKafkaMessages::FriendRequestLoaded,16,1,0x17F4280,0,0xF5361468
ClientKafkaMessages::FriendResponseLoaded,16,1,0x17F4400,0,0xAF50C12
ClientKafkaMessages::PresenceUpdateFanoutLoaded,16,1,0x17F4580,0,0x5915FBFE
ClientKafkaMessages::FriendTableLoaded,16,1,0x17F4700,0,0xB4AB87F5
ClientKafkaMessages::RelationshipTableLoaded,16,1,0x17F4880,0,0xA7562A7
ClientKafkaMessages::PrivateChatLoaded,16,1,0x17F4A00,0,0x4B73CF2C
ClientKafkaMessages::PrivateChatStatusLoaded,16,1,0x17F4B80,0,0x9BC4EF8A
ClientKafkaMessages::ScriptRegionConsoleLoaded,40,1,0x17F4D00,0,0xD3CAA979
ClientKafkaMessages::ClientMetric,32,1,0x17F4ED0,0,0x4AC30FE7
ClientKafkaMessages::RegionHeartbeatMetric,384,1,0x17F5030,0,0xDCF900A4
ClientKafkaMessages::RegionEventMetric,344,1,0x17F50A0,0,0xBA6DB2FC
ClientKafkaMessages::SubscribeScriptRegionConsole,40,1,0x17F5110,0,0x3BFA4474
ClientKafkaMessages::UnsubscribeScriptRegionConsole,32,1,0x17F52E0,0,0xD49B04C3
ClientKafkaMessages::ScriptConsoleLog,176,1,0x17F5440,0,0xB0E15E
ClientKafkaMessages::LongLivedNotification,64,1,0x17F54B0,0,0x46C5FDF3
ClientKafkaMessages::LongLivedNotificationDelete,24,1,0x17F5520,0,0x59CF6950
ClientKafkaMessages::LongLivedNotificationsLoaded,16,1,0x17F5670,0,0x3494608D
ClientKafkaMessages::ShortLivedNotification,64,1,0x17F57F0,0,0xAD589C6F
EditServerMessages::UserLogin,40,1,0x1A1E400,0,0x46D3C1E
EditServerMessages::UserLoginReply,40,1,0x1A1E5D0,0,0xE227C3E2
EditServerMessages::AddUser,56,1,0x1A1E640,0,0x50155562
EditServerMessages::RemoveUser,16,1,0x1A1E6B0,0,0x5729AC25
EditServerMessages::OpenWorkspace,48,1,0x1A1E830,0,0xBC512F47
EditServerMessages::CloseWorkspace,16,1,0x1A1E9E0,0,0x43C06583
EditServerMessages::EditWorkspaceCommand,48,1,0x1A1EB60,0,0x76363E28
EditServerMessages::SaveWorkspace,120,1,0x1A1EBD0,0,0x7C7BDCA8
EditServerMessages::SaveWorkspaceReply,88,1,0x1A1EC40,0,0xFAE838FC
EditServerMessages::BuildWorkspace,64,1,0x1A1ECB0,0,0x5963934F
EditServerMessages::UpdateWorkspaceClientBuiltBakeData,72,1,0x1A1ED20,0,0xF12FD324
EditServerMessages::BuildWorkspaceCompileReply,96,1,0x1A1ED90,0,0x15B220E0
